method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
CENTRAL-ECBS-SIPP,20,5,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,10,589,121091,8.1,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,10,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,500,580,131779,6.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,20,500,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,0.2,2520,12780,31.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,0.2,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,0.5,1034,13117,27.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,0.5,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,1,553,15705,14.3,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,1,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,2,449,42945,15.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,2,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,5,424,73880,14.0,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,5,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,10,422,82565,12.1,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,10,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,500,419,93657,190.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,30,500,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,0.2,2524,12731,59.6,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,0.2,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,0.5,1032,12698,54.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,0.5,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,1,555,14169,35.8,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,1,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,2,366,28769,22.4,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,2,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,5,332,54143,18.0,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,5,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,10,344,64197,18.4,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,10,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,500,334,74470,32.4,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,40,500,,,,,,,not_implemented,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,0.2,2524,12528,115.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,0.2,2515,11481,342.6,-0.4%,-8.4%,+196.1%,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,0.5,1035,12471,111.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,1,553,13692,69.2,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,1,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,2,335,20718,30.5,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,2,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,5,313,43452,32.7,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,5,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,10,304,53351,91.8,-,-,-,original,CENTRAL-ECBS
