method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
LNS(1s)+PBS-MLA*,50,1,527,11860,969.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,1,528,11851,541.8,+0.2%,-0.1%,-44.1%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,2,296,15061,937.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,2,294,15065,286.9,-0.7%,+0.0%,-69.4%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,5,276,34603,847.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,5,271,34433,236.0,-1.8%,-0.5%,-72.1%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,10,255,42045,844.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,10,255,41696,225.9,+0.0%,-0.8%,-73.3%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,500,257,49963,850.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLA*,50,500,261,49903,222.4,+1.6%,-0.1%,-73.8%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PBS-MLSIPP,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,10,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,10,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,10,5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,10,10,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,10,500,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,10,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PBS-MLSIPP,50,500,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLSIPP
LNS(1s)+PP-SIPP,10,0.2,2513,13667,347.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,0.5,1277,53380,591.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,1,1205,125233,580.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,2,1150,167070,455.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,5,1158,195385,405.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,5,1251,212091,523.1,+8.0%,+8.6%,+29.0%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,10,1162,203822,386.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,10,1251,221618,504.9,+7.7%,+8.7%,+30.8%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,500,1131,211914,393.0,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,10,500,1244,227933,495.4,+10.0%,+7.6%,+26.0%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,0.2,2513,12256,842.7,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,0.2,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,0.5,1028,13104,808.4,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,0.5,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,1,646,31719,560.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,1,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,2,613,66155,406.0,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,2,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,5,595,91767,364.2,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,5,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,10,594,101547,345.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,10,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,500,580,110189,339.4,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,20,500,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,0.2,2512,11791,765.4,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,0.2,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,0.5,1027,12146,786.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,0.5,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,1,535,13595,541.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,1,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,2,423,35147,429.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,2,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,5,403,59155,327.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,5,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,10,410,68796,313.7,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,10,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,500,398,76688,295.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,30,500,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,0.2,2514,11602,777.3,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,0.2,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,0.5,1027,11752,842.7,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,0.5,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,1,526,12202,544.2,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,1,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,2,339,21745,309.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,2,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,5,318,42897,303.3,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,5,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,10,312,52199,250.0,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,10,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,500,321,60473,248.6,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,40,500,,,,,,,not_implemented,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,0.2,2513,11338,286.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,0.5,1027,11690,740.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,1,527,11860,969.9,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,1,527,12032,516.8,+0.0%,+1.5%,-46.7%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,2,296,15061,937.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,2,295,15311,285.2,-0.3%,+1.7%,-69.6%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,5,276,34603,847.1,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,5,266,34012,233.9,-3.6%,-1.7%,-72.4%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,10,255,42045,844.8,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,10,265,41846,214.9,+3.9%,-0.5%,-74.6%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,500,257,49963,850.5,-,-,-,original,LNS(1s)+PBS-MLA*
LNS(1s)+PP-SIPP,50,500,255,49461,207.9,-0.8%,-1.0%,-75.6%,reimplementation,LNS(1s)+PBS-MLA*
LNS(1s)+wPBS-MLA*,10,0.2,2512,13626,338.9,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,0.5,1287,50458,574.0,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,1,1237,125871,558.8,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,2,1205,164495,448.9,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,5,1209,195176,398.7,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,10,1197,204995,378.1,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,10,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,500,1192,211858,372.5,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,10,500,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,0.2,2511,12467,816.4,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,0.2,2515,12320,872.2,+0.2%,-1.2%,+6.8%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,0.5,1036,13209,774.9,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,0.5,1032,13309,714.2,-0.4%,+0.8%,-7.8%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,1,638,30482,558.7,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,1,659,37198,800.1,+3.3%,+22.0%,+43.2%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,2,606,65437,413.2,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,2,621,69539,452.1,+2.5%,+6.3%,+9.4%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,5,605,92093,360.0,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,5,605,95904,394.8,+0.0%,+4.1%,+9.7%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,10,587,100635,338.4,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,10,622,105633,389.3,+6.0%,+5.0%,+15.0%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,500,590,109873,331.2,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,20,500,610,112690,391.3,+3.4%,+2.6%,+18.1%,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,0.2,2512,12048,774.4,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,0.2,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,0.5,1030,12264,714.8,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,0.5,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,1,530,13466,535.0,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,1,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,2,439,34682,430.3,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,2,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,5,420,58349,314.4,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,5,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,10,398,66856,310.3,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,10,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,500,389,75561,287.8,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,30,500,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,0.2,2511,11915,777.8,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,0.2,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,0.5,1031,11984,812.2,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,0.5,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,1,528,12522,538.5,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,1,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,2,343,21699,308.9,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,2,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,5,322,42255,297.7,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,5,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,10,309,50886,228.7,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,10,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,500,308,58853,233.5,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,40,500,,,,,,,not_run,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,0.2,2512,11779,284.1,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,0.5,1030,11935,678.1,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,1,526,12269,966.6,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,2,301,14396,867.6,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,5,275,33860,741.9,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,10,260,41321,778.4,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,10,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,500,249,50138,763.0,-,-,-,original,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLA*,50,500,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLA*
LNS(1s)+wPBS-MLSIPP,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,10,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,10,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,10,5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,10,10,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,10,500,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,0.2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,0.5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,1,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,2,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,5,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,10,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
LNS(1s)+wPBS-MLSIPP,50,500,N/A,N/A,N/A,-,-,-,reimplementation,LNS(1s)+wPBS-MLSIPP
TA-Hybrid-STA*,10,500,1050,264705,1.6,no_orig,no_orig,no_orig,reimplementation,TA-Hybrid-STA*
TA-Hybrid-STA*,50,500,238,61359,9.8,no_orig,no_orig,no_orig,reimplementation,TA-Hybrid-STA*
TA-Prioritized-STA*,10,500,1053,262854,0.6,-,-,-,original,TA-Prioritized-STA*
TA-Prioritized-STA*,10,500,1060,263400,0.0,+0.7%,diff metric,-91.8%,reimplementation,TA-Prioritized-STA*
TA-Prioritized-STA*,20,500,548,137803,0.9,-,-,-,original,TA-Prioritized-STA*
TA-Prioritized-STA*,20,500,542,137393,11.4,-1.1%,diff metric,+1166.7%,reimplementation,TA-Prioritized-STA*
TA-Prioritized-STA*,30,500,376,92511,0.9,-,-,-,original,TA-Prioritized-STA*
TA-Prioritized-STA*,30,500,366,92244,9.0,-2.7%,diff metric,+900.0%,reimplementation,TA-Prioritized-STA*
TA-Prioritized-STA*,40,500,283,73001,0.9,-,-,-,original,TA-Prioritized-STA*
TA-Prioritized-STA*,40,500,282,72478,7.0,-0.4%,diff metric,+677.8%,reimplementation,TA-Prioritized-STA*
TA-Prioritized-STA*,50,500,238,59970,0.7,-,-,-,original,TA-Prioritized-STA*
TA-Prioritized-STA*,50,500,236,59914,0.2,-0.8%,diff metric,-73.0%,reimplementation,TA-Prioritized-STA*
TP-SIPP,10,0.2,2532,19270,0.9,-,-,-,original,TP-STA*
TP-SIPP,10,0.2,2540,19108,0.1,+0.3%,-0.8%,-84.2%,reimplementation,TP-STA*
TP-SIPP,10,0.5,1309,66393,0.3,-,-,-,original,TP-STA*
TP-SIPP,10,0.5,1239,57260,0.1,-5.3%,-13.8%,-67.8%,reimplementation,TP-STA*
TP-SIPP,10,1,1198,155890,0.3,-,-,-,original,TP-STA*
TP-SIPP,10,1,1142,144193,0.1,-4.7%,-7.5%,-70.7%,reimplementation,TP-STA*
TP-SIPP,10,2,1167,203809,0.3,-,-,-,original,TP-STA*
TP-SIPP,10,2,1127,198471,0.1,-3.4%,-2.6%,-69.4%,reimplementation,TP-STA*
TP-SIPP,10,5,1162,236892,0.3,-,-,-,original,TP-STA*
TP-SIPP,10,5,1116,228670,0.1,-4.0%,-3.5%,-68.3%,reimplementation,TP-STA*
TP-SIPP,10,10,1163,247964,0.3,-,-,-,original,TP-STA*
TP-SIPP,10,10,1127,243177,0.1,-3.1%,-1.9%,-68.4%,reimplementation,TP-STA*
TP-SIPP,10,500,1136,256428,0.3,-,-,-,original,TP-STA*
TP-SIPP,10,500,1080,248784,0.1,-4.9%,-3.0%,-68.7%,reimplementation,TP-STA*
TP-SIPP,20,0.2,2540,19887,2.5,-,-,-,original,TP-STA*
TP-SIPP,20,0.2,,,,,,,not_implemented,TP-STA*
TP-SIPP,20,0.5,1094,21345,2.3,-,-,-,original,TP-STA*
TP-SIPP,20,0.5,,,,,,,not_implemented,TP-STA*
TP-SIPP,20,1,757,47992,0.6,-,-,-,original,TP-STA*
TP-SIPP,20,1,,,,,,,not_implemented,TP-STA*
TP-SIPP,20,2,683,95380,0.5,-,-,-,original,TP-STA*
TP-SIPP,20,2,,,,,,,not_implemented,TP-STA*
TP-SIPP,20,5,655,123540,0.3,-,-,-,original,TP-STA*
TP-SIPP,20,5,,,,,,,not_implemented,TP-STA*
TP-SIPP,20,10,643,137618,0.4,-,-,-,original,TP-STA*
TP-SIPP,20,10,,,,,,,not_implemented,TP-STA*
TP-SIPP,20,500,634,141526,0.4,-,-,-,original,TP-STA*
TP-SIPP,20,500,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,0.2,2546,19354,5.3,-,-,-,original,TP-STA*
TP-SIPP,30,0.2,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,0.5,1069,21983,5.4,-,-,-,original,TP-STA*
TP-SIPP,30,0.5,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,1,607,26902,1.3,-,-,-,original,TP-STA*
TP-SIPP,30,1,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,2,529,57197,1.1,-,-,-,original,TP-STA*
TP-SIPP,30,2,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,5,478,85391,1.0,-,-,-,original,TP-STA*
TP-SIPP,30,5,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,10,526,96007,1.2,-,-,-,original,TP-STA*
TP-SIPP,30,10,,,,,,,not_implemented,TP-STA*
TP-SIPP,30,500,432,96677,0.6,-,-,-,original,TP-STA*
TP-SIPP,30,500,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,0.2,2540,19439,11.8,-,-,-,original,TP-STA*
TP-SIPP,40,0.2,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,0.5,1090,21505,11.6,-,-,-,original,TP-STA*
TP-SIPP,40,0.5,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,1,624,24399,12.4,-,-,-,original,TP-STA*
TP-SIPP,40,1,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,2,464,47660,2.5,-,-,-,original,TP-STA*
TP-SIPP,40,2,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,5,418,77663,3.1,-,-,-,original,TP-STA*
TP-SIPP,40,5,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,10,407,77316,2.6,-,-,-,original,TP-STA*
TP-SIPP,40,10,,,,,,,not_implemented,TP-STA*
TP-SIPP,40,500,364,78819,2.1,-,-,-,original,TP-STA*
TP-SIPP,40,500,,,,,,,not_implemented,TP-STA*
TP-SIPP,50,0.2,2540,20016,29.9,-,-,-,original,TP-STA*
TP-SIPP,50,0.2,2535,18957,0.4,-0.2%,-5.3%,-98.8%,reimplementation,TP-STA*
TP-SIPP,50,0.5,1083,21832,25.1,-,-,-,original,TP-STA*
TP-SIPP,50,0.5,1094,20250,0.4,+1.0%,-7.2%,-98.4%,reimplementation,TP-STA*
TP-SIPP,50,1,597,24570,29.0,-,-,-,original,TP-STA*
TP-SIPP,50,1,N/A,N/A,N/A,-,-,-,reimplementation,TP-STA*
TP-SIPP,50,2,432,37817,21.8,-,-,-,original,TP-STA*
TP-SIPP,50,2,365,22581,0.4,-15.5%,-40.3%,-98.3%,reimplementation,TP-STA*
TP-SIPP,50,5,395,62294,9.1,-,-,-,original,TP-STA*
TP-SIPP,50,5,325,45713,0.4,-17.7%,-26.6%,-95.9%,reimplementation,TP-STA*
TP-SIPP,50,10,333,65711,4.3,-,-,-,original,TP-STA*
TP-SIPP,50,10,324,54267,0.4,-2.7%,-17.4%,-91.4%,reimplementation,TP-STA*
TP-SIPP,50,500,336,68302,14.3,-,-,-,original,TP-STA*
TP-SIPP,50,500,294,59958,0.4,-12.5%,-12.2%,-97.5%,reimplementation,TP-STA*
