method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
Hungarian+wPBS-MLA*,50,2,-1.30,12.70,-90.4,swt+rt
Hungarian+wPBS-MLA*,10,5,-3.50,-1.60,10.0,ms+rt
Hungarian+wPBS-MLA*,20,5,3.40,1.60,-50.7,ms+rt
Hungarian+wPBS-MLA*,30,5,3.20,4.00,-74.6,ms+swt+rt
Hungarian+wPBS-MLA*,40,5,7.70,5.70,-86.6,ms+swt+rt
Hungarian+wPBS-MLA*,50,5,8.80,12.90,-87.8,ms+swt+rt
Hungarian+wPBS-MLA*,10,10,0.30,0.30,14.3,rt
Hungarian+wPBS-MLA*,20,10,0.80,2.20,-49.5,rt
Hungarian+wPBS-MLA*,30,10,2.70,3.50,-70.4,swt+rt
Hungarian+wPBS-MLA*,40,10,4.10,4.80,-81.8,ms+swt+rt
Hungarian+wPBS-MLA*,50,10,4.50,7.70,-84.9,ms+swt+rt
Hungarian+wPBS-MLA*,10,500,2.10,0.30,21.9,rt
Hungarian+wPBS-MLA*,20,500,0.20,-0.60,-52.2,rt
Hungarian+wPBS-MLA*,30,500,4.30,3.90,-67.5,ms+swt+rt
Hungarian+wPBS-MLA*,40,500,2.60,2.30,-82.0,rt
Hungarian+wPBS-MLA*,50,500,6.20,2.40,-82.4,ms+rt
Hungarian+wPBS-MLSIPP,10,0.2,0.10,0.90,-56.6,rt
Hungarian+wPBS-MLSIPP,20,0.2,0.00,-0.30,-58.5,rt
Hungarian+wPBS-MLSIPP,30,0.2,0.20,-2.40,-63.9,rt
Hungarian+wPBS-MLSIPP,40,0.2,0.10,-2.70,-65.9,rt
Hungarian+wPBS-MLSIPP,50,0.2,0.00,-2.00,-66.5,rt
Hungarian+wPBS-MLSIPP,10,0.5,0.40,0.60,-73.4,rt
Hungarian+wPBS-MLSIPP,20,0.5,-0.30,3.00,-87.7,rt
Hungarian+wPBS-MLSIPP,30,0.5,-0.40,0.90,-87.6,rt
Hungarian+wPBS-MLSIPP,40,0.5,-0.70,0.50,-88.6,rt
Hungarian+wPBS-MLSIPP,50,0.5,-0.70,-2.00,-90.4,rt
Hungarian+wPBS-MLSIPP,10,1,4.00,4.00,13.8,ms+swt+rt
Hungarian+wPBS-MLSIPP,20,1,1.40,-1.40,-92.1,rt
Hungarian+wPBS-MLSIPP,30,1,0.00,3.00,-94.6,rt
