  Agent 0 seq_id=0 first_task_release=0 tasks=44
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=3 tasks=3 maxlen=156 global_makespan=1019
  CostFlow: agents=4 tasks=4 maxlen=161 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=145 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=153 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=153 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=153 global_makespan=1019
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=150 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=150 global_makespan=1019
  CostFlow: agents=1 tasks=1 maxlen=156 global_makespan=1019
  CostFlow: agents=2 tasks=2 maxlen=162 global_makespan=1020
  CostFlow: agents=3 tasks=3 maxlen=162 global_makespan=1020
  CostFlow: agents=3 tasks=3 maxlen=162 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=162 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=162 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=162 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=162 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=162 global_makespan=1020
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1020
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1020
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=179 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=179 global_makespan=1020
  CostFlow: agents=2 tasks=2 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=179 global_makespan=1020
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1020
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=191 global_makespan=1020
  CostFlow: agents=1 tasks=1 maxlen=192 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=200 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=200 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=200 global_makespan=1021
  CostFlow: agents=1 tasks=1 maxlen=192 global_makespan=1021
  CostFlow: agents=3 tasks=3 maxlen=193 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=192 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=192 global_makespan=1021
  CostFlow: agents=1 tasks=1 maxlen=192 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=195 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=195 global_makespan=1021
  CostFlow: agents=3 tasks=3 maxlen=212 global_makespan=1021
  CostFlow: agents=3 tasks=3 maxlen=212 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=212 global_makespan=1021
  CostFlow: agents=1 tasks=1 maxlen=212 global_makespan=1021
  CostFlow: agents=2 tasks=2 maxlen=217 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1021
  CostFlow: agents=1 tasks=1 maxlen=209 global_makespan=1021
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=218 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=218 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=218 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=226 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=218 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=224 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=224 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=230 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=230 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=233 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=236 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=233 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=233 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=237 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=257 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=257 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=247 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=251 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=251 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=272 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=272 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=272 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=272 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=266 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=266 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=266 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=273 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=280 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=285 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=299 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=301 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=291 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=294 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=294 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=294 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=304 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=304 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=304 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=304 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=304 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=324 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=324 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=324 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=324 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=324 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=324 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=324 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=324 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=324 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=324 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=324 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=312 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=317 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=317 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=319 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=319 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=337 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=336 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=336 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=336 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=336 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=336 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=336 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=336 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=336 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=336 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=341 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=341 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=343 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=343 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=343 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=345 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=341 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=350 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=354 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=354 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=369 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=369 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=369 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=369 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=369 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=369 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=369 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=369 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=369 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=369 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=369 global_makespan=1024
  CostFlow: agents=4 tasks=4 maxlen=377 global_makespan=1024
  CostFlow: agents=3 tasks=3 maxlen=381 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=369 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=371 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=371 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=364 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=373 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=373 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=373 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=379 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=379 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=379 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=379 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=386 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=386 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=386 global_makespan=1024
  CostFlow: agents=2 tasks=2 maxlen=386 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=0 tasks=0 maxlen=0 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=397 global_makespan=1024
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=1 tasks=1 maxlen=400 global_makespan=1027
  CostFlow: agents=2 tasks=2 maxlen=404 global_makespan=1027
  CostFlow: agents=3 tasks=3 maxlen=408 global_makespan=1027
  CostFlow: agents=2 tasks=2 maxlen=408 global_makespan=1027
